Row_ID,Source_ID,DOI,Publication_year,First_author,Reference_title,Journal,All_authors,RIS_index,AgS,ReT,SA,Metal,AIC,Temp,pH,rpm,Adc,Qm,Aged condition,Solution- added agent,Study_ID,Study_ID_numeric,extreme_qm_flag,log_Qm,Temp_missing,pH_missing,rpm_missing,imputed_AIC,imputed_Temp,imputed_rpm,quality_score,quality_flags,quality_category
QMR001,QMS014,10.1016/j.watres.2019.03.069,2019,"Li, X.",Enhancement in adsorption potential of microplastics in sewage sludge for metal pollutants after the wastewater treatment process,Water Research,"Li, X.; Mei, Q.; Chen, L.; Zhang, H.; Dong, B.; Dai, X.; He, C.; Zhou, J.",37,Virgin,PA,,Cd (II),8.5,25.0,7.0,30.0,Single-ion,339.6,,,QMS014,14,False,5.827768454437193,0,0,0,0,0,0,100,none,high
QMR002,QMS014,10.1016/j.watres.2019.03.069,2019,"Li, X.",Enhancement in adsorption potential of microplastics in sewage sludge for metal pollutants after the wastewater treatment process,Water Research,"Li, X.; Mei, Q.; Chen, L.; Zhang, H.; Dong, B.; Dai, X.; He, C.; Zhou, J.",37,Virgin,PP,0.99,Cd (II),8.5,25.0,7.0,30.0,Single-ion,199.2,,,QMS014,14,False,5.294309345150498,0,0,0,0,0,0,100,none,high
QMR003,QMS014,10.1016/j.watres.2019.03.069,2019,"Li, X.",Enhancement in adsorption potential of microplastics in sewage sludge for metal pollutants after the wastewater treatment process,Water Research,"Li, X.; Mei, Q.; Chen, L.; Zhang, H.; Dong, B.; Dai, X.; He, C.; Zhou, J.",37,Virgin,PE,0.53,Cd (II),8.5,25.0,7.0,30.0,Single-ion,234.5,,,QMS014,14,False,5.457455587886334,0,0,0,0,0,0,100,none,high
QMR004,QMS014,10.1016/j.watres.2019.03.069,2019,"Li, X.",Enhancement in adsorption potential of microplastics in sewage sludge for metal pollutants after the wastewater treatment process,Water Research,"Li, X.; Mei, Q.; Chen, L.; Zhang, H.; Dong, B.; Dai, X.; He, C.; Zhou, J.",37,Aged,Mix,5.12,Cd (II),51.0,25.0,7.0,30.0,Single-ion,2523.0,Nature: Sludge,,QMS014,14,False,7.833203948641057,0,0,0,0,0,0,100,none,high
QMR005,QMS037,10.1016/j.chemosphere.2019.06.196,2019,"Wang, F.",Adsorption characteristics of cadmium onto microplastics from aqueous solutions,Chemosphere,"Wang, F.; Yang, W.; Cheng, P.; Zhang, S.; Zhang, S.; Jiao, W.; Sun, Y.",16,Virgin,HDPE,,Cd (II),10.1,25.0,7.0,270.0,Single-ion,30.5,,,QMS037,37,False,3.417726683613366,0,0,0,1,0,0,97,imputed_AIC,high
QMR006,QMS045,10.1007/s11356-019-05643-8,2019,"Yang, J.",Effects of soil environmental factors and UV aging on Cu2+ adsorption on microplastics,Environmental Science and Pollution Research,"Yang, J.; Cang, L.; Sun, Q.; Dong, G.; Ata-Ul-Karim, S. T.; Zhou, D.",9,Virgin,PA,8.71,Cu (II),5.025,25.0,6.0,200.0,Single-ion,432.0,,,QMS045,45,False,6.068425588244111,0,0,0,0,0,0,100,none,high
QMR007,QMS045,10.1007/s11356-019-05643-8,2019,"Yang, J.",Effects of soil environmental factors and UV aging on Cu2+ adsorption on microplastics,Environmental Science and Pollution Research,"Yang, J.; Cang, L.; Sun, Q.; Dong, G.; Ata-Ul-Karim, S. T.; Zhou, D.",9,Aged,PA,,Cu (II),5.025,25.0,6.0,200.0,Single-ion,265.0,Lab: UV,,QMS045,45,False,5.579729825986222,0,0,0,0,0,0,100,none,high
QMR008,QMS045,10.1007/s11356-019-05643-8,2019,"Yang, J.",Effects of soil environmental factors and UV aging on Cu2+ adsorption on microplastics,Environmental Science and Pollution Research,"Yang, J.; Cang, L.; Sun, Q.; Dong, G.; Ata-Ul-Karim, S. T.; Zhou, D.",9,Virgin,PS,0.001,Cu (II),5.025,25.0,6.0,200.0,Single-ion,8.28,,,QMS045,45,False,2.1138429683971682,0,0,0,0,0,0,100,none,high
QMR009,QMS045,10.1007/s11356-019-05643-8,2019,"Yang, J.",Effects of soil environmental factors and UV aging on Cu2+ adsorption on microplastics,Environmental Science and Pollution Research,"Yang, J.; Cang, L.; Sun, Q.; Dong, G.; Ata-Ul-Karim, S. T.; Zhou, D.",9,Virgin,PET,0.475,Cu (II),5.025,25.0,6.0,200.0,Single-ion,8.720000000000002,,,QMS045,45,False,2.1656192379208887,0,0,0,0,0,0,100,none,high
QMR010,QMS045,10.1007/s11356-019-05643-8,2019,"Yang, J.",Effects of soil environmental factors and UV aging on Cu2+ adsorption on microplastics,Environmental Science and Pollution Research,"Yang, J.; Cang, L.; Sun, Q.; Dong, G.; Ata-Ul-Karim, S. T.; Zhou, D.",9,Virgin,PVC,0.556,Cu (II),5.025,25.0,6.0,200.0,Single-ion,6.289999999999999,,,QMS045,45,False,1.838961070712349,0,0,0,0,0,0,100,none,high
